batch_date,min,max,mean,median,std,var
nt_comments_20101231-20120507,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20120507-20130730,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20130730-20140630,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20140630-20150124,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20150124-20150524,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20150524-20150910,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20150910-20151215,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20151215-20160427,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20160427-20160902,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20160902-20170118,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20170118-20170504,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20170504-20170813,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20170813-20171220,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20171220-20180524,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20180524-20180901,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20180901-20181222,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20181222-20190416,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20190416-20190903,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20190903-20200131,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20200131-20200723,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20200723-20210224,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20210224-20210922,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20210922-20220328,0.0,0.0,0.0,0.0,0.0,0.0
nt_comments_20220328-20221001,0.0,0.0,0.0,0.0,0.0,0.0
