batch_date,min,max,mean,median,std,var
timent_comments_20101231-20120507,-1.0,0.0,-0.09013891691807785,-0.07,0.1073782201816691,0.011530082169383012
timent_comments_20120507-20130730,-1.0,0.0,-0.08900100954690249,-0.07,0.10587981969583525,0.011210536218822583
timent_comments_20130730-20140630,-1.0,0.0,-0.08961787355130761,-0.07,0.10234788094253322,0.010475088733426955
timent_comments_20140630-20150124,-1.0,0.0,-0.0897616783867031,-0.07,0.10505436590347489,0.011036419795381187
timent_comments_20150124-20150524,-1.0,0.0,-0.08996846348403416,-0.07,0.10727395205328694,0.011507700789130906
timent_comments_20150524-20150910,-1.0,0.0,-0.08798738245446973,-0.07,0.1041719216823203,0.010851789266987473
timent_comments_20150910-20151215,-1.0,0.0,-0.0835380618660245,-0.06,0.10285742697077149,0.01057965028304759
timent_comments_20151215-20160427,-1.0,0.0,-0.08256820789174042,-0.06,0.10063940530384553,0.010128289899911692
timent_comments_20160427-20160902,-1.0,0.0,-0.07998375445468263,-0.06,0.0942717625084458,0.008887165206448807
timent_comments_20160902-20170118,-1.0,0.0,-0.07956200587498341,-0.06,0.09226857457026838,0.008513489853229176
timent_comments_20170118-20170504,-1.0,0.0,-0.07687367012572574,-0.06,0.0902730630331705,0.008149225909390774
timent_comments_20170504-20170813,-1.0,0.0,-0.07598790175721246,-0.06,0.09094335100512918,0.00827069309204213
timent_comments_20170813-20171220,-1.0,0.0,-0.08240872021096497,-0.06,0.09566714589709749,0.009152202804096536
timent_comments_20171220-20180524,-1.0,0.0,-0.07713113736031009,-0.06,0.09177919771310507,0.00842342113286123
timent_comments_20180524-20180901,-1.0,0.0,-0.07554970611166156,-0.06,0.09130378694195489,0.008336381509941891
timent_comments_20180901-20181222,-1.0,0.0,-0.07553363053781366,-0.05,0.0912514280650624,0.008326823123913257
timent_comments_20181222-20190416,-1.0,0.0,-0.08166774621170213,-0.06,0.0960616622949571,0.009227842962870384
timent_comments_20190416-20190903,-1.0,0.0,-0.08209054890085558,-0.06,0.09664835538038032,0.00934090459773229
timent_comments_20190903-20200131,-1.0,0.0,-0.08147469235111056,-0.06,0.09630791888477094,0.00927521523991562
timent_comments_20200131-20200723,-1.0,0.0,-0.08132469328326948,-0.06,0.09509331555103011,0.009042738662487785
timent_comments_20200723-20210224,-1.0,0.0,-0.0797977963740909,-0.06,0.09417826046339432,0.008869544743910942
timent_comments_20210224-20210922,-1.0,0.0,-0.07873798799029316,-0.06,0.09475162607012076,0.008977870642931988
timent_comments_20210922-20220328,-1.0,0.0,-0.07946099312530348,-0.06,0.09690726656252777,0.009391018312620812
timent_comments_20220328-20221001,-1.0,0.0,-0.08051410102224894,-0.06,0.09802662635049796,0.009609219473660141
