batch_date,min,max,mean,median,std,var
20101231-20120507,-1.0,0.0,-0.07963382735608682,-0.06,0.10498993922889266,0.011022887339286573
20120507-20130730,-1.0,0.0,-0.07744188168662687,-0.06,0.1031974444556385,0.010649712542174592
20130730-20140630,-1.0,0.0,-0.07714632789596328,-0.06,0.0998973030577649,0.009979471158214924
20140630-20150124,-1.0,0.0,-0.07740371450621925,-0.05,0.10234026281808618,0.010473529393674953
20150124-20150524,-1.0,0.0,-0.07988016922475416,-0.06,0.10499133193296326,0.011023179781057671
20150524-20150910,-1.0,0.0,-0.07780808555729432,-0.06,0.10192336527708419,0.010388372389405931
20150910-20151215,-1.0,0.0,-0.07804565413533834,-0.06,0.10155158494404067,0.010312724404646706
20151215-20160427,-1.0,0.0,-0.07697567141423749,-0.06,0.09936179495717885,0.009872766297112454
20160427-20160902,-1.0,0.0,-0.07478361192133162,-0.05,0.09326441739995307,0.008698251552952669
20160902-20170118,-1.0,0.0,-0.07447534786358824,-0.05,0.09136752811934895,0.008348025194640021
20170118-20170504,-1.0,0.0,-0.07168226702273169,-0.05,0.08928060756395877,0.007971026886989611
20170504-20170813,-1.0,0.0,-0.07097819419999539,-0.05,0.08989441099869301,0.00808100512880194
20170813-20171220,-1.0,0.0,-0.08107121409869406,-0.06,0.09545729076058129,0.009112094359350158
20171220-20180524,-1.0,0.0,-0.0727035394510909,-0.05,0.09089438421974112,0.008261789082685924
20180524-20180901,-1.0,0.0,-0.07087304271263771,-0.05,0.09028728372696174,0.00815179360279289
20180901-20181222,-1.0,0.0,-0.0709147569623369,-0.05,0.09025067800077237,0.008145184879599098
20181222-20190416,-1.0,0.0,-0.08128415377130514,-0.06,0.09599833263178835,0.009215679868083481
20190416-20190903,-1.0,0.0,-0.08201239552351616,-0.06,0.0966355071312356,0.009338421238511085
20190903-20200131,-1.0,0.0,-0.0810642770694165,-0.06,0.09623805319357354,0.00926176288248909
20200131-20200723,-1.0,0.0,-0.08064622098551652,-0.06,0.09498428018024074,0.009022013481358475
20200723-20210224,-1.0,0.0,-0.0787196269164565,-0.06,0.09399244121364202,0.00883457900529995
20210224-20210922,-1.0,0.0,-0.07699646296522414,-0.05,0.09441074889591072,0.008913389507086707
20210922-20220328,-1.0,0.0,-0.0777994268939474,-0.05,0.09656042976407522,0.009323916596222904
20220328-20221001,-1.0,0.0,-0.08041609944185082,-0.06,0.09800716328216429,0.00960540405461681
