batch_date,min,max,mean,median,std,var
nt_posts_20080723-20120424,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20120424-20150330,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20150330-20151028,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20151028-20160421,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20160421-20160927,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20160927-20170301,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20170301-20170730,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20170730-20180204,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20180204-20180720,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20180720-20181221,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20181221-20190525,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20190525-20191112,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20191112-20200430,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20200430-20201119,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20201119-20210519,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20210519-20211107,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20211107-20220423,0.0,0.0,0.0,0.0,0.0,0.0
nt_posts_20220423-20220930,0.0,0.0,0.0,0.0,0.0,0.0
