batch_date,min,max,mean,median,std,var
_20080723-20120424,-1.0,0.0,-0.04717518960726891,-0.05,0.047604325162725225,0.002266171774198474
_20120424-20150330,-1.0,0.0,-0.06271044464309032,-0.07,0.04606157294454311,0.002121668502125466
_20150330-20151028,-1.0,0.0,-0.053748011008256186,-0.06,0.046881225609523194,0.0021978493146510136
_20151028-20160421,-0.47,0.0,-0.038112686761205675,0.0,0.046159781338679165,0.0021307254132346735
_20160421-20160927,-0.43,0.0,-0.03340580217406522,0.0,0.04479480017257233,0.002006574122500686
_20160927-20170301,-0.4,0.0,-0.028023420936837472,0.0,0.04319689329177693,0.0018659715900611626
_20170301-20170730,-0.45,0.0,-0.025431597475722337,0.0,0.0422434744717525,0.0017845111354456054
_20170730-20180204,-0.37,0.0,-0.03426159638720506,0.0,0.04546343042660293,0.0020669235061545653
_20180204-20180720,-1.0,0.0,-0.045306926563717584,-0.04,0.04824863643644429,0.002327930917976179
_20180720-20181221,-1.0,0.0,-0.04800354531353866,-0.05,0.048700726038166046,0.0023717607166445043
_20181221-20190525,-0.75,0.0,-0.0466507301720941,-0.04,0.04838378197046952,0.0023409903577659313
_20190525-20191112,-1.0,0.0,-0.0480548520662486,-0.05,0.04888403338835887,0.0023896487203141853
_20191112-20200430,-0.5,0.0,-0.044832965793117595,-0.04,0.04907320579946841,0.00240817952743698
_20200430-20201119,-0.4,0.0,-0.03878635928810958,0.0,0.04765331595311738,0.002270838521327631
_20201119-20210519,-0.31,0.0,-0.036084448978742016,0.0,0.0469096265113277,0.0022005130594322585
_20210519-20211107,-0.33,0.0,-0.034529128742606725,0.0,0.04602224054458341,0.0021180466247434976
_20211107-20220423,-0.5,0.0,-0.032644430130037434,0.0,0.045146633693105793,0.0020382185338194752
_20220423-20220930,-1.0,0.0,-0.03106136452554598,0.0,0.04428547960800522,0.001961203704111046
